short_name,station_id,legacy_id,capacity,name,lat,lon,date,year
3129.08,83d1ff16-ba56-4eae-aa6a-b37b6439db82,4384,30,53 St & 5 Ave,40.643371,-74.011884,2023-03-22,2023
3129.08,83d1ff16-ba56-4eae-aa6a-b37b6439db82,4384,30,53 St & 5 Ave,40.643371,-74.011884,2022-12-12,2022
3129.08,83d1ff16-ba56-4eae-aa6a-b37b6439db82,4384,30,53 St & 5 Ave,40.643371,-74.011884,2021-09-22,2021
3132.09,1822663143025657920,1822663143025657920,25,Beverley Rd & Nostrand Ave,40.64507,-73.9488,2024-09-26,2024
3135.04,7aa86431-bbc5-4d9c-8198-9630c9d32a22,4367,21,Chester Ave & 12 Ave,40.644367,-73.984276,2024-09-26,2024
3135.04,7aa86431-bbc5-4d9c-8198-9630c9d32a22,4367,21,Chester Ave & 12 Ave,40.644367,-73.984276,2023-03-22,2023
3135.04,7aa86431-bbc5-4d9c-8198-9630c9d32a22,4367,21,Chester Ave & 12 Ave,40.644367,-73.984276,2022-12-12,2022
3135.04,7aa86431-bbc5-4d9c-8198-9630c9d32a22,4367,21,Chester Ave & 12 Ave,40.644367,-73.984276,2021-09-22,2021
3138.09,3013d5ac-f7bb-4e98-a49a-b9f7b76a3b50,4387,35,58 St & 2 Ave,40.644512,-74.021506,2024-09-26,2024
3138.09,3013d5ac-f7bb-4e98-a49a-b9f7b76a3b50,4387,35,58 St & 2 Ave,40.644512,-74.021506,2023-03-22,2023
3138.09,3013d5ac-f7bb-4e98-a49a-b9f7b76a3b50,4387,35,58 St & 2 Ave,40.644512,-74.021506,2022-12-12,2022
3138.09,3013d5ac-f7bb-4e98-a49a-b9f7b76a3b50,4387,35,58 St & 2 Ave - Brooklyn Army Terminal Vaccination Site,40.644512,-74.021506,2021-09-22,2021
3140.09,1820420224296772166,1820420224296772166,24,Bedford Ave & Beverley Rd,40.64491,-73.95487,2024-09-26,2024
3148.08,1814906692908349788,1814906692908349788,23,E 17 St & Beverley Rd,40.64466,-73.96322,2024-09-26,2024
3148.09,1845677022981917240,1845677022981917240,19,E 19 St & Beverley Rd,40.64483,-73.9613,2024-09-26,2024
3155.01,1815968422007427668,1815968422007427668,22,Schenectady Ave & Cortelyou Rd,40.64535,-73.93268,2024-09-26,2024
3157.08,1828965347681089818,1828965347681089818,20,Turner Pl & Coney Island Ave,40.64521,-73.97073,2024-09-26,2024
3161.02,7155b0a6-2545-4b02-ae8c-9c0c4220f8c3,4390,21,46 St & 6 Ave,40.645921,-74.005708,2024-09-26,2024
3161.02,7155b0a6-2545-4b02-ae8c-9c0c4220f8c3,4390,21,46 St & 6 Ave,40.645921,-74.005708,2023-03-22,2023
3161.02,7155b0a6-2545-4b02-ae8c-9c0c4220f8c3,4390,21,46 St & 6 Ave,40.645921,-74.005708,2022-12-12,2022
3161.02,7155b0a6-2545-4b02-ae8c-9c0c4220f8c3,4390,21,46 St & 6 Ave,40.645921,-74.005708,2021-09-22,2021
3164.04,1815968237323833702,1815968237323833702,21,Brooklyn Ave & Beverley Rd,40.64575,-73.94331,2024-09-26,2024
3166.03,bbb48e80-7d2f-4b3c-bb8c-591bc931945a,4366,20,Albemarle Rd & McDonald Ave,40.645074,-73.979681,2024-09-26,2024
3166.03,bbb48e80-7d2f-4b3c-bb8c-591bc931945a,4366,20,Albemarle Rd & McDonald Ave,40.645074,-73.979681,2023-03-22,2023
3166.03,bbb48e80-7d2f-4b3c-bb8c-591bc931945a,4366,20,Albemarle Rd & McDonald Ave,40.645074,-73.979681,2022-12-12,2022
3166.03,bbb48e80-7d2f-4b3c-bb8c-591bc931945a,4366,20,Albemarle Rd & McDonald Ave,40.645074,-73.979681,2021-09-22,2021
3169.07,2ad41c1f-5636-4a63-ad52-761e2613061a,4385,25,53 St & 4 Ave,40.644862,-74.014531,2024-09-26,2024
3169.07,2ad41c1f-5636-4a63-ad52-761e2613061a,4385,25,53 St & 4 Ave,40.644862,-74.014531,2023-03-22,2023
3169.07,2ad41c1f-5636-4a63-ad52-761e2613061a,4385,25,53 St & 4 Ave,40.644862,-74.014531,2022-12-12,2022
3169.07,2ad41c1f-5636-4a63-ad52-761e2613061a,4385,25,53 St & 4 Ave,40.644862,-74.014531,2021-09-22,2021
3172.01,1815968147129520346,1815968147129520346,22,Tilden Ave & Nostrand Ave,40.64683,-73.94933,2024-09-26,2024
3178.02,160e21da-6dd2-47ff-8385-e13c8cdce4fa,4386,27,57 St & 1 Ave,40.646377,-74.023087,2024-09-26,2024
3178.02,160e21da-6dd2-47ff-8385-e13c8cdce4fa,4386,27,57 St & 1 Ave,40.646377,-74.023087,2023-03-22,2023
3178.02,160e21da-6dd2-47ff-8385-e13c8cdce4fa,4386,27,57 St & 1 Ave,40.646377,-74.023087,2022-12-12,2022
3178.02,160e21da-6dd2-47ff-8385-e13c8cdce4fa,4386,27,57 St & 1 Ave - Brooklyn Army Terminal Vaccination Site,40.646377,-74.023087,2021-09-22,2021
3180.02,1814907062275537820,1814907062275537820,30,Beverley Rd & Flatbush Ave,40.64499,-73.95818,2024-09-26,2024
3180.09,1814906873296976512,1814906873296976512,21,Albemarle Rd & E 21 St,40.64741,-73.95933,2024-09-26,2024
3187.01,1817433126359581672,1817433126359581672,22,Beverley Rd & E 49 St,40.64621,-73.93067,2024-09-26,2024
3188.04,1815967313905864892,1815967313905864892,19,Rugby Rd & Albemarle Rd,40.64672,-73.96637,2024-09-26,2024
3192.05,189f573b-a2d0-40d2-af15-83c5015d93e2,4420,25,7 Ave & 41 St,40.647379,-74.000911,2024-09-26,2024
3192.05,189f573b-a2d0-40d2-af15-83c5015d93e2,4420,25,7 Ave & 41 St,40.647379,-74.000911,2023-03-22,2023
3192.05,189f573b-a2d0-40d2-af15-83c5015d93e2,4420,25,7 Ave & 41 St,40.647379,-74.000911,2022-12-12,2022
3192.05,189f573b-a2d0-40d2-af15-83c5015d93e2,4420,25,7 Ave & 41 St,40.647379,-74.000911,2021-09-22,2021
3199.01,8dc8c0b3-4d70-40fe-a75a-86e30ecb676b,4364,20,Caton Ave & E 7 St,40.647718,-73.973663,2024-09-26,2024
3199.01,8dc8c0b3-4d70-40fe-a75a-86e30ecb676b,4364,20,Caton Ave & E 7 St,40.647718,-73.973663,2023-03-22,2023
